price,year,month,day
347,2025,5,25
347,2024,10,27
347,2025,2,02
347,2025,5,11
347,2025,5,04
349,2025,6,30
349,2024,12,27
349,2024,12,29
358,2024,11,18
359,2024,8,23
359,2024,8,22
359,2024,12,26
359,2025,4,21
359,2024,8,20
359,2024,8,21
369,2025,6,24
369,2025,4,14
369,2025,3,05
369,2025,2,20
369,2024,12,24
369,2024,12,28
378,2024,10,18
378,2025,1,31
378,2024,10,07
378,2024,10,09
378,2024,9,19
378,2024,9,17
378,2024,9,24
379,2025,5,22
388,2024,12,17
389,2025,2,01
389,2024,8,24
389,2024,9,03
389,2025,2,26
389,2025,1,11
399,2025,3,06
399,2025,6,23
399,2025,3,27
399,2025,5,23
399,2024,12,23
399,2025,3,13
409,2025,6,26
409,2025,3,11
409,2025,6,27
417,2024,9,22
417,2024,9,29
417,2024,9,15
418,2024,11,30
419,2025,2,25
419,2024,12,31
419,2025,3,28
419,2025,3,31
419,2025,3,26
419,2025,7,05
419,2024,11,26
419,2025,2,14
419,2025,2,11
419,2025,2,19
419,2025,4,03
427,2024,11,17
428,2024,12,16
429,2025,2,10
429,2025,1,04
429,2025,7,03
437,2025,4,20
437,2024,9,01
437,2025,4,13
437,2025,6,15
439,2025,3,07
439,2024,8,19
439,2025,6,14
439,2024,12,20
449,2025,3,04
449,2025,6,21
449,2025,5,17
449,2024,12,22
449,2025,3,18
457,2025,1,12
459,2025,2,28
467,2025,6,22
467,2025,6,29
467,2024,12,15
467,2024,9,10
467,2024,10,06
467,2025,6,08
469,2025,2,15
469,2025,3,14
469,2025,2,21
469,2025,2,18
477,2025,1,05
479,2025,7,01
487,2025,5,18
494,2025,3,03
497,2024,10,21
497,2024,10,08
497,2025,7,06
498,2025,1,20
504,2025,3,17
504,2025,3,10
507,2025,3,09
507,2025,3,30
508,2025,4,04
509,2025,6,28
512,2024,10,10
513,2025,3,29
514,2025,2,24
517,2024,12,01
528,2025,3,21
528,2025,2,17
537,2025,2,16
538,2024,10,11
547,2025,3,16
548,2025,2,08
572,2024,8,25
579,2025,4,07
588,2025,2,22
593,2025,3,15
593,2025,3,08
603,2025,3,01
607,2025,2,09
613,2025,3,22
617,2025,3,02
627,2025,2,23
659,2024,12,21
668,2024,10,19
688,2025,3,25
697,2024,10,20
697,2025,3,23
742,2025,4,05
772,2025,3,24
857,2025,4,06
1320,2025,7,12
1370,2025,7,13
1660,2024,8,18
